Time_Earth,Flux_Earth
1764.6844310998868,20812290.0
1764.685819989466,20811852.0
1764.6872088788132,20807928.0
1764.688597768162,20807532.0
1764.6899866577455,20804980.0
1764.6913755470962,20803880.0
1764.6927644364482,20803296.0
1764.6941533258014,20800226.0
1764.6955422151557,20800890.0
1764.6969311045116,20797910.0
1764.6983199938682,20795296.0
1764.6997088832268,20795366.0
1764.7010977725863,20795282.0
1764.7024866619468,20794548.0
1764.7038755513083,20795206.0
1764.7052644404382,20793544.0
1764.706653329802,20794316.0
1764.708042219167,20792414.0
1764.7094311083004,20795002.0
1764.7108199976676,20795992.0
1764.7122088868043,20796172.0
1764.7135977761745,20794100.0
1764.7149866653133,20799764.0
1764.7163755546865,20800844.0
1764.7177644438268,20803610.0
1764.7191533329685,20804176.0
1764.7205422223442,20805084.0
1764.7219311114882,20807598.0
1764.7233200006342,20807804.0
1764.7247088897814,20807432.0
1764.726097778929,20808768.0
1764.7274866680775,20808090.0
1764.7288755572279,20807896.0
1764.730264446379,20807930.0
1764.7316533355313,20805420.0
1764.7330422246848,20806978.0
1764.7344311136073,20804584.0
1764.7358200027638,20801442.0
1764.737208891921,20798412.0
1764.7385977810793,20798916.0
1764.739986670006,20798768.0
1764.7413755591667,20799804.0
1764.7427644480956,20800260.0
1764.7441533372585,20803192.0
1764.7455422261908,20803128.0
1764.7469311153568,20806490.0
1764.7483200042905,20811576.0
1764.7497088932255,20812568.0
1764.7510977821614,20813806.0
1764.7524866713316,20819864.0
1764.75387556027,20820490.0
1764.7552644492098,20823222.0
1764.7566533381512,20827606.0
1764.7580422270942,20829734.0
1764.7594311160371,20827270.0
1764.7608200049815,20829358.0
1764.762208893927,20830262.0
1764.763597782874,20830256.0
1764.7649866718218,20826910.0
1764.766375560771,20825654.0
1764.7677644494886,20822116.0
1764.7691533384407,20816274.0
1764.7705422273941,20817266.0
1764.771931116115,20812934.0
1764.7733200050702,20806556.0
1764.7747088940264,20803994.0
1764.776097782751,20798110.0
1764.7774866717098,20789358.0
1764.7788755604365,20788218.0
1764.7802644491655,20782566.0
1764.7816533381283,20781916.0
1764.783042226859,20777988.0
1764.7844311155907,20777488.0
1764.7858200043236,20776452.0
1764.7885977820256,20778150.0
1764.7899866707621,20778882.0
1764.7913755595005,20780062.0
1764.7927644482402,20780970.0
1764.7941533369801,20783688.0
1764.7955422257212,20784948.0
1764.7969311144634,20786340.0
1764.798320003207,20784210.0
1764.799708891952,20788790.0
1764.801097780465,20792818.0
1764.8024866692126,20794334.0
1764.8038755579616,20796510.0
1764.8052644464783,20797720.0
1764.806653335229,20797928.0
1764.808042223981,20799678.0
1764.809431112501,20799108.0
1764.8108200012555,20802166.0
1764.812208889778,20804960.0
1764.8135977785344,20802850.0
1764.8149866670603,20804674.0
1764.8163755555877,20806094.0
1764.8177644443485,20805190.0
